arist_id,artist_name,track_name,track_id,popularity,explicit,release_date,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
2O6ph9RDudyvAR4Gj6VDoE,$wizzz,L.I.F.E,0eyJ7wobiSnBiviFjDD4WV,13,False,2021-03-24,0.618,0.557,0.0,-5.227,0.0747,0.482,0.0,0.294,0.332,144.046,162194.0,4.0,1.0
2O6ph9RDudyvAR4Gj6VDoE,$wizzz,G-spot,0n5HmWeoStEZzxdu4DFiBv,10,False,2021-02-19,0.711,0.444,7.0,-7.602,0.28,0.543,0.0,0.118,0.63,80.21,217365.0,4.0,0.0
2O6ph9RDudyvAR4Gj6VDoE,$wizzz,High grade,19BuQIrARlDVkOgY06BuP2,10,False,2021-04-26,0.516,0.684,1.0,-5.736,0.0467,0.139,0.0,0.113,0.135,99.932,222981.0,4.0,0.0
2O6ph9RDudyvAR4Gj6VDoE,$wizzz,Story,4Fvl6HcI4kfiACcelfWhkw,10,False,2021-07-15,0.491,0.467,0.0,-9.551,0.0545,0.154,0.0,0.146,0.574,131.662,194718.0,5.0,0.0
2O6ph9RDudyvAR4Gj6VDoE,$wizzz,Bubble,4VJMkS6IEdG7pN8UpJugvT,12,False,2021-09-10,0.59,0.592,5.0,-7.909,0.234,0.000575,0.0,0.405,0.293,70.254,195429.0,3.0,0.0
2O6ph9RDudyvAR4Gj6VDoE,$wizzz,Pain,77qk8s7sVvy3UAKgW4Lttr,15,False,2021-10-26,0.648,0.572,1.0,-7.416,0.369,0.191,0.0,0.0628,0.46,139.681,150700.0,5.0,0.0
2O6ph9RDudyvAR4Gj6VDoE,$wizzz,Weh mi Duh,2jGf0v0szuFhG3sxxdi7gF,50,False,2022-02-19,0.935,0.596,7.0,-5.642,0.187,0.172,2.57e-05,0.111,0.507,101.029,163960.0,4.0,1.0
2O6ph9RDudyvAR4Gj6VDoE,$wizzz,Weh mi Duh 2,0cNwOS0V3mzG7q3uHU7ro0,23,False,2022-06-05,0.831,0.76,7.0,-6.073,0.277,0.0108,0.000101,0.0687,0.748,99.955,130263.0,4.0,1.0
2O6ph9RDudyvAR4Gj6VDoE,$wizzz,Fantasy,0HipX5qzsblyL7UGNxYSra,4,False,2021-01-16,0.597,0.702,1.0,-4.602,0.106,0.0771,0.0,0.513,0.324,93.857,152268.0,4.0,0.0
6I1j34QzSTWe6u4qQWKYJe,10Tik,Pi Pi,1HFxAFqo1hKpIR1EwXEb2Y,23,True,2022-05-25,0.584,0.63,6.0,-7.131,0.284,0.288,5.37e-06,0.167,0.427,179.893,194313.0,4.0,0.0
6I1j34QzSTWe6u4qQWKYJe,10Tik,Round Trip,0oCKNxzW0RDBAdN51CGftj,11,False,2017-04-21,0.582,0.561,0.0,-8.557,0.437,0.318,0.0,0.142,0.403,117.504,199941.0,5.0,0.0
6I1j34QzSTWe6u4qQWKYJe,10Tik,Gangsta,1N1ezr9Fj78ZkNV2Q129wH,41,True,2020-10-16,0.601,0.725,1.0,-5.095,0.392,0.298,0.0,0.369,0.404,127.168,164208.0,5.0,1.0
6I1j34QzSTWe6u4qQWKYJe,10Tik,Roll Deep,7qbYXi2qeCdBoSlDZs9swk,52,True,2021-02-23,0.627,0.582,6.0,-5.729,0.348,0.228,0.0,0.0523,0.508,68.711,207856.0,3.0,0.0
