Artist,Name,Link,Danceability,Energy,Speechiness,Acousticness,Liveness,Valence
Prince Alla,Lot's Wife,https://open.spotify.com/track/671gOq1eU3H7IMhVgAkeDZ,0.898,0.528,0.0696,0.0108,0.0581,0.773
Sir Coxsone Sound,Travelling Israel Dub,https://open.spotify.com/track/7vWkgTi9fkq8Iu813YQFJL,0.728,0.654,0.0511,0.0605,0.0776,0.433
Various Artists,Heavy Waist Line,https://open.spotify.com/track/26rMOjUJIWmovF7bEJsx1l,0.836,0.511,0.443,0.146,0.158,0.79
Junior Byles,I Don't Know,https://open.spotify.com/track/3wLfdE2L6ZdcLhD5qDrwJr,0.718,0.523,0.182,0.0373,0.0597,0.95
Dillinger,Take a Dip,https://open.spotify.com/track/0BsCtPiWKESMzgQ3KVBv9E,0.554,0.773,0.314,0.0653,0.134,0.921
Admiral Tibet,Give Praises,https://open.spotify.com/track/3Ej04VOjTBSACOlAWcu5DA,0.815,0.531,0.0922,0.00397,0.0543,0.764
Judy Mowatt,Concrete Jungle,https://open.spotify.com/track/7vlDHKGPxuJ26WiPdMKmUG,0.601,0.421,0.0593,0.126,0.0395,0.885
Zamunda,Herbs Man,https://open.spotify.com/track/3zwIORIgKQrLn4u4nyhCUL,0.673,0.844,0.198,0.351,0.465,0.93
Sly & Robbie,Hot You're Hot,https://open.spotify.com/track/2j0s9CxBEabi7XPH5DsSa7,0.768,0.46,0.0712,0.0917,0.0585,0.734
"Lee ""Scratch"" Perry",Having A Party,https://open.spotify.com/track/1YAXrOLk7EGfv1tlSnGOqi,0.739,0.758,0.103,0.405,0.0808,0.787
Bushman,Give Jah The Praise,https://open.spotify.com/track/30qxScfmeaLqCGkcDomX6D,0.744,0.656,0.0761,0.0408,0.32,0.698
Tony Curtis,Leave The Collie,https://open.spotify.com/track/0zrL5amf9y51BW3Ers5QsT,0.633,0.503,0.088,0.465,0.247,0.761
Various Artists,Mental Freedom,https://open.spotify.com/track/3rLMwzuJMyOzlCLql7Tx0M,0.725,0.623,0.199,0.00837,0.0391,0.915
Horace Martin,Positive Vibez,https://open.spotify.com/track/6Q98wZHW2x7XAcqLEtKpL3,0.839,0.364,0.313,0.0303,0.0967,0.566
Big Youth,Natty Dread She Want,https://open.spotify.com/track/7FxByRWpbPXHenoRwy1o5h,0.848,0.334,0.333,0.106,0.199,0.81
The Meditations,Stranger in Love,https://open.spotify.com/track/4O4JXeP1W5xv2BsdkL2BMH,0.676,0.654,0.0516,0.522,0.0893,0.856
Various Artists,My Country,https://open.spotify.com/track/4EyyOtwd0n0dAFWlFMTMgp,0.729,0.585,0.0429,0.0259,0.312,0.931
Bushman,Fill My Clip,https://open.spotify.com/track/7usvedfZHmdxa1pYaJDZ9d,0.686,0.625,0.115,0.328,0.615,0.828
Various Artists,Mr. Loverman (feat. Chevelle Franklin),https://open.spotify.com/track/3RDagX0chkYFjYxn6STh03,0.666,0.615,0.138,0.0705,0.0892,0.824
Anthony B,Beat Dem Bad,https://open.spotify.com/track/5tQeffuTMLskTsjbow9Piu,0.543,0.747,0.322,0.156,0.228,0.423
