Artist Name,Track Name,Popularity,Explicit,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Mode,Release Year,Duration,Clusters
$wizzz,L.I.F.E,13,Clean,0.618,0.557,C,0.8608046303713082,0.0747,0.482,0.294,0.332,144.0,Major,2021,2.7032333333333334,Cluster 1
$wizzz,G-spot,10,Clean,0.711,0.444,G,0.799436707061833,0.28,0.543,0.118,0.63,80.0,Minor,2021,3.62275,Cluster 4
$wizzz,High grade,10,Clean,0.516,0.684,C#/Db,0.8476525154388775,0.0467,0.139,0.113,0.135,100.0,Minor,2021,3.71635,Cluster 1
$wizzz,Story,10,Clean,0.491,0.467,C,0.7490762512596574,0.0545,0.154,0.146,0.574,132.0,Minor,2021,3.2453,Cluster 1
$wizzz,Bubble,12,Clean,0.59,0.592,F,0.7915040955014082,0.234,0.000575,0.405,0.293,70.0,Minor,2021,3.25715,Cluster 1
$wizzz,Pain,15,Clean,0.648,0.572,C#/Db,0.8042427844241751,0.369,0.191,0.0628,0.46,140.0,Minor,2021,2.5116666666666667,Cluster 1
$wizzz,Weh mi Duh,50,Clean,0.935,0.596,G,0.8500813932456526,0.187,0.172,0.111,0.507,101.0,Major,2022,2.732666666666667,Cluster 3
$wizzz,Weh mi Duh 2,23,Clean,0.831,0.76,G,0.838944730110333,0.277,0.0108,0.0687,0.748,100.0,Major,2022,2.17105,Cluster 3
$wizzz,Fantasy,4,Clean,0.597,0.702,C#/Db,0.8769540838738017,0.106,0.0771,0.513,0.324,94.0,Minor,2021,2.5378,Cluster 1
10Tik,Pi Pi,23,Explicit,0.584,0.63,F#/Gb,0.8116069352213121,0.284,0.288,0.167,0.427,180.0,Minor,2022,3.23855,Cluster 1
10Tik,Round Trip,11,Clean,0.582,0.561,C,0.774760342110023,0.437,0.318,0.142,0.403,118.0,Minor,2017,3.33235,Cluster 1
10Tik,Gangsta,41,Explicit,0.601,0.725,C#/Db,0.8642153949510348,0.392,0.298,0.369,0.404,127.0,Major,2020,2.7368,Cluster 1
10Tik,Roll Deep,52,Explicit,0.627,0.582,F#/Gb,0.8478333893181055,0.348,0.228,0.0523,0.508,69.0,Minor,2021,3.4642666666666666,Cluster 1
10Tik,Activ,11,Clean,0.544,0.621,G,0.8088421487816853,0.238,0.255,0.1,0.502,117.0,Minor,2022,2.8954833333333334,Cluster 1
10Tik,Soul Of the City,19,Explicit,0.571,0.595,G#/Ab,0.8061548797188703,0.171,0.827,0.136,0.38,105.0,Major,2021,3.2678166666666666,Cluster 4
10Tik,Freedom,34,Clean,0.533,0.782,C,0.8569804397819178,0.346,0.758,0.144,0.744,128.0,Minor,2021,4.7152,Cluster 4
10Tik,The Real Way,28,Clean,0.537,0.612,C#/Db,0.8498230019896127,0.148,0.595,0.106,0.378,117.0,Minor,2021,3.8522666666666665,Cluster 4
10Tik,Money,31,Clean,0.664,0.544,F,0.8296168057672928,0.297,0.335,0.0979,0.376,196.0,Minor,2021,2.622583333333333,Cluster 1
10Tik,Burning Issue,26,Clean,0.501,0.661,A,0.8538797447094391,0.134,0.368,0.117,0.472,125.0,Major,2021,3.0315833333333333,Cluster 1
